"@odata.etag","nycsr_admininterventiontype@OData.Community.Display.V1.FormattedValue","nycsr_admininterventiontype","nycsr_caseid","nycsr_interventionenddate@OData.Community.Display.V1.FormattedValue","nycsr_interventionenddate","nycsr_casenumber","nycsr_interventionstartdate@OData.Community.Display.V1.FormattedValue","nycsr_interventionstartdate","nycsr_building.nycsr_address","nycsr_building.nycsr_latitude@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_latitude","nycsr_building.nycsr_buildingid","nycsr_building.nycsr_borough@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_borough","nycsr_building.nycsr_longitude@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_longitude","nycsr_building.nycsr_geographicaldistrictcode","nycsr_building.nycsr_buildingname","nycsr_locationsite.nycsr_sitename"
"W/""300572598""","Classroom Closed",882450000,"791e6505-cefa-eb11-94ef-001dd8301132","8/21/2021","2021-08-21T04:00:00Z","048043","8/12/2021","2021-08-12T04:00:00Z","522 WEST 44TH STREET","40,760,858.000000",40760858,"e7ed94c3-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,996,262.000000",-73996262,"2","BEACON HIGH SCHOOL - MANHATTAN","Summer - CHAPTER 683 - High School - P.S. 035 - M035 - M912 - 75M035 - 522 WEST 44TH STREET"
"W/""301317946""","Classroom Closed",882450000,"813b220c-67fb-eb11-94ef-001dd8301132","8/21/2021","2021-08-21T04:00:00Z","048077","8/13/2021","2021-08-13T04:00:00Z","3441 STEENWICK AVENUE","40,882,778.000000",40882778,"018b0044-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,830,616.000000",-73830616,"11","P.S./I.S. 189 - BRONX","Cornerstone Academy for Social Action - X189 - X189 - 11X189 - 3441 STEENWICK AVENUE"
"W/""301267599""","Classroom Closed",882450000,"6f900980-9bfb-eb11-94ef-001dd8301132","8/21/2021","2021-08-21T04:00:00Z","048118","8/13/2021","2021-08-13T04:00:00Z","105 HAMILTON AVENUE","40,645,436.000000",40645436,"5a5b4cd6-32f4-ea11-b882-24ee9a37d45c","Staten Island",882450004,"-74,082,149.000000",-74082149,"31","CURTIS HS - S. I.","Summer - HS Summer School - High School - Curtis High School - R450 - R450 - 31R450 - 105 HAMILTON AVENUE"
"W/""301711945""","Classroom Closed",882450000,"c1402c4d-9ffb-eb11-94ef-001dd8301132","8/21/2021","2021-08-21T04:00:00Z","048124","8/14/2021","2021-08-14T04:00:00Z","26 BROADWAY","40,705,688.000000",40705688,"d1e0838c-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-74,013,303.000000",-74013303,"2","BROADWAY EDUCATION CAMPUS - M","Summer - MS SUMMER RISING - Middle School - Battery Park City School - M276 - M282 - 02M276 - 26 BROADWAY"
"W/""301279437""","Classroom Closed",882450000,"47acc9fc-a0fb-eb11-94ef-001dd8301132","8/21/2021","2021-08-21T04:00:00Z","048126","8/13/2021","2021-08-13T04:00:00Z","132-55 RIDGEDALE STREET","40,681,881.000000",40681881,"878946f4-31f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,752,772.000000",-73752772,"29","I.S. 59 - QUEENS","Success Academy Charter School - Springfield Gardens - New York 6 - Q339 - Q059 - 84Q339 - 132-55 RIDGEDALE STREET"
"W/""301711949""","Classroom Closed",882450000,"e86d25df-a6fb-eb11-94ef-001dd8301132","8/21/2021","2021-08-21T04:00:00Z","048129","8/14/2021","2021-08-14T04:00:00Z","885 Bolton Avenue","40,822,925.000000",40822925,"c8689025-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,859,998.000000",-73859998,"8","I.S. 131 - BRONX","Success Academy Charter School - Bronx 4 - New York 2 - X464 - X131 - 84X464 - 885 Bolton Avenue"
"W/""301711957""","Classroom Closed",882450000,"07b97665-2bfc-eb11-94ef-001dd8301132","8/22/2021","2021-08-22T04:00:00Z","048131","8/14/2021","2021-08-14T04:00:00Z","820 HANCOCK STREET","40,685,241.000000",40685241,"edc1392a-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,921,970.000000",-73921970,"16","P.S. 5 - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 005 Dr. Ronald McNair - K005 - K005 - 16K005 - 820 HANCOCK STREET"
"W/""301712090""","Classroom Closed",882450000,"70cf36af-52fc-eb11-94ef-001dd8301132","8/22/2021","2021-08-22T04:00:00Z","048172","8/14/2021","2021-08-14T04:00:00Z","1640 BRONXDALE AVE","40,845,023.000000",40845023,"7eeb0e7b-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,857,989.000000",-73857989,"11","THE LT. CURTIS MEYRAN AND JOHN BELLEW ED COMPLEX","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S./M.S. 11X498 - Van Nest Academy - X498 - X498 - 11X498 - 1640 BRONXDALE AVE"
"W/""300575145""","Classroom Closed",882450000,"29116029-b3fa-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048018","8/12/2021","2021-08-12T04:00:00Z","1458 YORK AVENUE","40,770,215.000000",40770215,"1d005d7a-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,950,745.000000",-73950745,"2","P.S. 158 - MANHATTAN","Summer - ES SUMMER RISING - Elementary - P.S. 158 Bayard Taylor - M158 - M158 - 02M158 - 1458 YORK AVENUE"
"W/""300429502""","Classroom Closed",882450000,"5c5c98fe-b6fa-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048024","8/12/2021","2021-08-12T04:00:00Z","420 BEACH  51 STREET","40,595,911.000000",40595911,"b02ff20c-32f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,780,961.000000",-73780961,"27","P.S. 105 - QUEENS","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S. 105 The Bay School - Q105 - Q105 - 27Q105 - 420 BEACH  51 STREET"
