Date,Classroom Closures,"Classroom Closures, Cumulative (since 9/13/2021)","Classroom Closures, Currently in effect",Partial Classroom Quarantine,"Partial Classroom Quarantine, Cumulative (since 9/13/2021)","Partial Classroom Quarantine, Currently in effect",Non-Classroom Quarantine,"Non-Classroom Quarantine, Cumulative (since 9/13/2021)","Non-Classroom Quarantine, Currently in effect",School Assessments,"School Assessments, Cumulative (since 9/13/2021)","School Assessments, Currently in effect",School Closures,"School Closures, Cumulative (since 9/13/2021)","School Closures, Currently in effect",School Assessment,"School Assessment, Cumulative (since 9/13/2021)","School Assessment, Currently in effect",School Investigations,"School Investigations, Cumulative (since 9/13/2021)","School Investigations, Currently in effect",Partial Classroom Closure,"Partial Classroom Closure, Cumulative (since 9/13/2021)","Partial Classroom Closure, Currently in effect"
9/26/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/25/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/23/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/22/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/21/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/20/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/19/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/18/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/16/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/15/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/14/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/13/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/12/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/11/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/09/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/08/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/07/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/06/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/05/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/04/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/02/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
9/01/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/31/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/29/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/28/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/26/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/25/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/24/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/23/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/22/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/21/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/19/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/18/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/17/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/16/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/15/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/14/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/12/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/11/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/10/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/09/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
8/08/2023,0,345,0,0,936,0,0,59,0,0,3,0,0,0,0,,,,,,,,,
