SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
01M015,P.S. 015 ROBERTO CLEMENTE,9/17/2021,80.48
01M019,P.S. 019 ASHER LEVY,9/17/2021,83.42
01M020,P.S. 020 ANNA SILVER,9/17/2021,83.81
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,9/17/2021,75.41
01M063,THE STAR ACADEMY   P.S.63,9/17/2021,81.02
01M064,P.S. 064 ROBERT SIMON,9/17/2021,83.48
01M110,P.S. 110 FLORENCE NIGHTINGALE,9/17/2021,89.18
01M134,P.S. 134 HENRIETTA SZOLD,9/17/2021,85.14
01M140,P.S. 140 NATHAN STRAUS,9/17/2021,79.00
01M142,P.S. 142 AMALIA CASTRO,9/17/2021,86.47
01M184,P.S. 184M SHUANG WEN,9/17/2021,94.52
01M188,P.S. 188 THE ISLAND SCHOOL,9/17/2021,80.76
01M292,ORCHARD COLLEGIATE ACADEMY,9/17/2021,75.73
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,9/17/2021,86.32
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,9/17/2021,81.42
01M361,THE CHILDREN S WORKSHOP SCHOOL,9/17/2021,91.75
01M363,NEIGHBORHOOD SCHOOL,9/17/2021,86.13
01M364,EARTH SCHOOL,9/17/2021,84.48
01M378,SCHOOL FOR GLOBAL LEADERS,9/17/2021,83.33
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,9/17/2021,87.20
01M450,EAST SIDE COMMUNITY SCHOOL,9/17/2021,88.83
01M458,FORSYTH SATELLITE ACADEMY,9/17/2021,42.27
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,9/17/2021,58.90
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",9/17/2021,91.95
01M650,CASCADES HIGH SCHOOL,9/17/2021,37.03
01M696,BARD HIGH SCHOOL EARLY COLLEGE,9/17/2021,93.41
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,9/17/2021,93.98
02M001,P.S. 001 ALFRED E. SMITH,9/17/2021,85.84
02M002,P.S. 002 MEYER LONDON,9/17/2021,91.03
02M003,P.S. 003 CHARRETTE SCHOOL,9/17/2021,88.41
02M006,P.S. 006 LILLIE D. BLAKE,9/17/2021,79.53
02M011,P.S. 011 WILLIAM T. HARRIS,9/17/2021,93.47
02M033,P.S. 033 CHELSEA PREP,9/17/2021,82.60
02M040,P.S. 040 AUGUSTUS SAINT GAUDENS,9/17/2021,88.37
02M041,P.S. 041 GREENWICH VILLAGE,9/17/2021,81.05
02M042,P.S. 042 BENJAMIN ALTMAN,9/17/2021,92.19
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,9/17/2021,80.95
02M051,P.S. 051 ELIAS HOWE,9/17/2021,83.99
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,9/17/2021,NS
02M077,P.S. 77 LOWER LAB SCHOOL,9/17/2021,84.00
02M089,P.S. 89,9/17/2021,84.89
02M104,J.H.S. 104 SIMON BARUCH,9/17/2021,89.44
02M111,P.S. 111 ADOLPH S. OCHS,9/17/2021,77.34
02M114,EAST SIDE MIDDLE SCHOOL,9/17/2021,96.21
02M116,P.S. 116 MARY LINDLEY MURRAY,9/17/2021,82.85
02M124,P.S. 124 YUNG WING,9/17/2021,93.33
02M126,P.S. 126 JACOB AUGUST RIIS,9/17/2021,90.25
02M130,P.S. 130 HERNANDO DE SOTO,9/17/2021,93.35
02M131,M.S. 131,9/17/2021,88.23
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,9/17/2021,70.43
02M139,STEPHEN T. MATHER BUILDING ARTS   CRAFTSMANSHIP HI,9/17/2021,74.58
02M150,P.S. 150,9/17/2021,93.37
02M151,YORKVILLE COMMUNITY SCHOOL,9/17/2021,83.87
02M158,P.S. 158 BAYARD TAYLOR,9/17/2021,86.11
02M167,J.H.S. 167 ROBERT F. WAGNER,9/17/2021,84.27
02M177,YORKVILLE EAST MIDDLE SCHOOL,9/17/2021,93.19
02M183,P.S. 183 ROBERT L. STEVENSON,9/17/2021,91.44
02M198,P.S. 198 ISADOR E. IDA STRAUS,9/17/2021,92.85
02M212,P.S. 212 MIDTOWN WEST,9/17/2021,85.18
02M217,P.S. I.S. 217 ROOSEVELT ISLAND,9/17/2021,90.97
02M225,ELLA BAKER SCHOOL,9/17/2021,98.33
02M234,P.S. 234 INDEPENDENCE SCHOOL,9/17/2021,75.96
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,9/17/2021,91.18
02M260,THE CLINTON SCHOOL,9/17/2021,94.94
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",9/17/2021,86.27
02M276,BATTERY PARK CITY SCHOOL,9/17/2021,94.72
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,9/17/2021,73.03
02M281,THE RIVER SCHOOL,9/17/2021,88.22
02M282,URBAN ASSEMBLY MAKER ACADEMY,9/17/2021,78.98
02M288,FOOD AND FINANCE HIGH SCHOOL,9/17/2021,71.70
02M289,I.S. 289,9/17/2021,88.03
02M290,P.S. 290 MANHATTAN NEW SCHOOL,9/17/2021,94.14
02M294,ESSEX STREET ACADEMY,9/17/2021,93.24
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,9/17/2021,62.85
02M297,M.S. 297,9/17/2021,78.00
02M298,PACE HIGH SCHOOL,9/17/2021,80.24
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",9/17/2021,81.85
02M303,"FACING HISTORY SCHOOL, THE",9/17/2021,74.15
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",9/17/2021,79.94
02M308,LOWER MANHATTAN ARTS ACADEMY,9/17/2021,70.63
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,9/17/2021,89.67
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION",9/17/2021,31.08
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",9/17/2021,68.03
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,9/17/2021,77.69
02M343,THE PECK SLIP SCHOOL,9/17/2021,81.86
02M347,THE 47 AMERICAN SIGN LANGUAGE   ENGLISH LOWER SCHO,9/17/2021,89.10
02M374,GRAMERCY ARTS HIGH SCHOOL,9/17/2021,77.12
