SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
01M015,P.S. 015 ROBERTO CLEMENTE,6/05/2023,83.33
01M020,P.S. 020 ANNA SILVER,6/05/2023,87.77
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6/05/2023,85.26
01M063,THE STAR ACADEMY   P.S.63,6/05/2023,87.17
01M064,P.S. 064 ROBERT SIMON,6/05/2023,84.93
01M110,P.S. 110 FLORENCE NIGHTINGALE,6/05/2023,92.54
01M134,P.S. 134 HENRIETTA SZOLD,6/05/2023,90.00
01M140,P.S. 140 NATHAN STRAUS,6/05/2023,77.26
01M142,P.S. 142 AMALIA CASTRO,6/05/2023,86.95
01M184,P.S. 184M SHUANG WEN,6/05/2023,96.19
01M188,P.S. 188 THE ISLAND SCHOOL,6/05/2023,86.52
01M292,ORCHARD COLLEGIATE ACADEMY,6/05/2023,83.73
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,6/05/2023,88.95
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6/05/2023,83.15
01M361,THE CHILDREN S WORKSHOP SCHOOL,6/05/2023,91.79
01M363,NEIGHBORHOOD SCHOOL,6/05/2023,92.38
01M364,EARTH SCHOOL,6/05/2023,91.66
01M378,SCHOOL FOR GLOBAL LEADERS,6/05/2023,90.44
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,6/05/2023,84.53
01M450,EAST SIDE COMMUNITY SCHOOL,6/05/2023,NS
01M458,FORSYTH SATELLITE ACADEMY,6/05/2023,41.71
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,6/05/2023,66.96
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",6/05/2023,93.52
01M650,CASCADES HIGH SCHOOL,6/05/2023,26.15
01M696,BARD HIGH SCHOOL EARLY COLLEGE,6/05/2023,90.94
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,6/05/2023,90.85
02M001,P.S. 001 ALFRED E. SMITH,6/05/2023,92.23
02M002,P.S. 002 MEYER LONDON,6/05/2023,91.81
02M003,P.S. 003 CHARRETTE SCHOOL,6/05/2023,88.61
02M006,P.S. 006 LILLIE D. BLAKE,6/05/2023,95.43
02M011,P.S. 011: THE SARAH J. GARNET ELEMENTARY SCHOOL,6/05/2023,91.61
02M033,P.S. 033 CHELSEA PREP,6/05/2023,91.69
02M040,P.S. 040 AUGUSTUS SAINT GAUDENS,6/05/2023,95.79
02M041,P.S. 041 GREENWICH VILLAGE,6/05/2023,92.46
02M042,P.S. 042 BENJAMIN ALTMAN,6/05/2023,96.33
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,6/05/2023,76.47
02M051,P.S. 051 ELIAS HOWE,6/05/2023,89.22
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,6/05/2023,93.41
02M077,P.S. 77 LOWER LAB SCHOOL,6/05/2023,97.28
02M089,P.S. 89,6/05/2023,95.23
02M104,J.H.S. 104 SIMON BARUCH,6/05/2023,94.25
02M111,P.S. 111 ADOLPH S. OCHS,6/05/2023,81.81
02M114,EAST SIDE MIDDLE SCHOOL,6/05/2023,96.65
02M116,P.S. 116 MARY LINDLEY MURRAY,6/05/2023,88.61
02M124,P.S. 124 YUNG WING,6/05/2023,97.70
02M126,P.S. 126 JACOB AUGUST RIIS,6/05/2023,95.34
02M130,P.S. 130 HERNANDO DE SOTO,6/05/2023,94.79
02M131,M.S. 131,6/05/2023,89.25
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,6/05/2023,82.65
02M139,STEPHEN T. MATHER BUILDING ARTS   CRAFTSMANSHIP HI,6/05/2023,72.44
02M150,P.S. 150,6/05/2023,95.72
02M151,YORKVILLE COMMUNITY SCHOOL,6/05/2023,90.70
02M158,P.S. 158 BAYARD TAYLOR,6/05/2023,92.43
02M167,J.H.S. 167 ROBERT F. WAGNER,6/05/2023,95.96
02M177,YORKVILLE EAST MIDDLE SCHOOL,6/05/2023,95.65
02M183,P.S. 183 ROBERT L. STEVENSON,6/05/2023,96.54
02M198,P.S. 198 ISADOR E. IDA STRAUS,6/05/2023,95.42
02M212,P.S. 212 MIDTOWN WEST,6/05/2023,86.10
02M217,P.S. I.S. 217 ROOSEVELT ISLAND,6/05/2023,91.85
02M225,ELLA BAKER SCHOOL,6/05/2023,93.99
02M234,P.S. 234 INDEPENDENCE SCHOOL,6/05/2023,92.42
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,6/05/2023,96.64
02M260,THE CLINTON SCHOOL,6/05/2023,79.56
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",6/05/2023,96.92
02M276,BATTERY PARK CITY SCHOOL,6/05/2023,94.98
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,6/05/2023,70.16
02M281,THE RIVER SCHOOL,6/05/2023,93.68
02M282,URBAN ASSEMBLY MAKER ACADEMY,6/05/2023,70.17
02M288,FOOD AND FINANCE HIGH SCHOOL,6/05/2023,64.14
02M289,I.S. 289,6/05/2023,97.05
02M290,P.S. 290 MANHATTAN NEW SCHOOL,6/05/2023,95.83
02M294,ESSEX STREET ACADEMY,6/05/2023,83.48
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,6/05/2023,42.26
02M297,M.S. 297,6/05/2023,88.84
02M298,PACE HIGH SCHOOL,6/05/2023,78.35
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",6/05/2023,77.72
02M303,"FACING HISTORY SCHOOL, THE",6/05/2023,75.53
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",6/05/2023,78.33
02M308,LOWER MANHATTAN ARTS ACADEMY,6/05/2023,56.08
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,6/05/2023,96.03
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION",6/05/2023,49.28
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",6/05/2023,67.81
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,6/05/2023,90.08
02M343,THE PECK SLIP SCHOOL,6/05/2023,97.24
02M347,THE 47 AMERICAN SIGN LANGUAGE   ENGLISH LOWER SCHO,6/05/2023,88.70
02M374,GRAMERCY ARTS HIGH SCHOOL,6/05/2023,87.34
02M376,NYC ISCHOOL,6/05/2023,93.08
02M391,DISTRICT 2 PRE K CENTER,6/05/2023,89.89
02M392,MANHATTAN BUSINESS ACADEMY,6/05/2023,86.44
02M393,BUSINESS OF SPORTS SCHOOL,6/05/2023,54.54
02M394,EMMA LAZARUS HIGH SCHOOL,6/05/2023,90.71
02M397,SPRUCE STREET SCHOOL,6/05/2023,95.83
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,6/05/2023,65.41
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,6/05/2023,69.25
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,6/05/2023,90.38
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,6/05/2023,80.53
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,6/05/2023,92.72
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,6/05/2023,92.85
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,6/05/2023,93.44
02M414,N.Y.C. MUSEUM SCHOOL,6/05/2023,88.19
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,6/05/2023,96.43
02M418,MILLENNIUM HIGH SCHOOL,6/05/2023,90.92
02M419,LANDMARK HIGH SCHOOL,6/05/2023,69.06
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,6/05/2023,76.66
02M422,QUEST TO LEARN,6/05/2023,79.30
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,6/05/2023,74.72
02M427,MANHATTAN ACADEMY FOR ARTS   LANGUAGE,6/05/2023,72.66
02M432,MURRAY HILL ACADEMY,6/05/2023,NS
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,6/05/2023,56.83
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,6/05/2023,81.68
02M439,MANHATTAN VILLAGE ACADEMY,6/05/2023,84.82
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",6/05/2023,95.61
02M449,VANGUARD HIGH SCHOOL,6/05/2023,78.62
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,6/05/2023,83.38
02M475,STUYVESANT HIGH SCHOOL,6/05/2023,96.43
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,6/05/2023,80.84
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,6/05/2023,63.74
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,6/05/2023,84.24
02M519,TALENT UNLIMITED HIGH SCHOOL,6/05/2023,65.25
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,6/05/2023,68.57
02M527,P.S. 527   EAST SIDE SCHOOL FOR SOCIAL ACTION,6/05/2023,95.33
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,6/05/2023,71.72
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,6/05/2023,82.56
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,6/05/2023,66.66
02M534,HARVEST COLLEGIATE HIGH SCHOOL,6/05/2023,70.25
02M542,MANHATTAN BRIDGES HIGH SCHOOL,6/05/2023,82.50
02M543,NEW DESIGN HIGH SCHOOL,6/05/2023,83.06
02M544,INDEPENDENCE HIGH SCHOOL,6/05/2023,44.96
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,6/05/2023,97.31
02M546,ACADEMY FOR SOFTWARE ENGINEERING,6/05/2023,80.15
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,6/05/2023,79.78
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,6/05/2023,85.50
02M560,HIGH SCHOOL M560   CITY AS SCHOOL,6/05/2023,34.79
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,6/05/2023,84.21
02M570,SATELLITE ACADEMY HIGH SCHOOL,6/05/2023,53.74
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,6/05/2023,NS
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,6/05/2023,84.86
02M586,HARVEY MILK HIGH SCHOOL,6/05/2023,71.79
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,6/05/2023,68.46
02M605,HUMANITIES PREPARATORY ACADEMY,6/05/2023,88.97
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,6/05/2023,59.67
02M630,ART AND DESIGN HIGH SCHOOL,6/05/2023,85.99
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,6/05/2023,59.80
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,6/05/2023,93.13
02M933,CITY KNOLL MIDDLE SCHOOL,6/05/2023,91.47
03M009,P.S. 009 SARAH ANDERSON,6/05/2023,93.18
03M054,J.H.S. 054 BOOKER T. WASHINGTON,6/05/2023,96.63
03M075,P.S. 075 EMILY DICKINSON,6/05/2023,87.82
03M076,P.S. 076 A. PHILIP RANDOLPH,6/05/2023,87.07
03M084,P.S. 084 LILLIAN WEBER,6/05/2023,93.53
03M087,P.S. 087 WILLIAM SHERMAN,6/05/2023,94.46
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",6/05/2023,85.25
03M149,P.S. 149 SOJOURNER TRUTH,6/05/2023,84.72
03M163,P.S. 163 ALFRED E. SMITH,6/05/2023,82.75
03M165,P.S. 165 ROBERT E. SIMON,6/05/2023,89.20
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,6/05/2023,93.87
03M180,P.S. 180 HUGO NEWMAN,6/05/2023,82.32
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,6/05/2023,86.49
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,6/05/2023,82.63
