"@odata.etag","nycsr_startdate@OData.Community.Display.V1.FormattedValue","nycsr_startdate","nycsr_type@OData.Community.Display.V1.FormattedValue","nycsr_type","nycsr_schoolinterventionid","nycsr_enddate@OData.Community.Display.V1.FormattedValue","nycsr_enddate","nycsr_building.nycsr_buildingid","nycsr_building.nycsr_address","nycsr_building.nycsr_borough@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_borough","nycsr_building.nycsr_latitude@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_latitude","nycsr_building.nycsr_longitude@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_longitude","nycsr_building.nycsr_geographicaldistrictcode","nycsr_building.nycsr_buildingname","nycsr_locationsite.nycsr_sitename"
"W/""438374071""","12/21/2021","2021-12-21T05:00:43Z","10-day closure",882450001,"b6f30df4-7a5f-ec11-8f8e-001dd805064b","12/30/2021","2021-12-30T05:00:43Z","d974b6e8-32f4-ea11-b882-24ee9a37d45c","1363 FULTON AVENUE","Bronx",882450001,"40,833,884.000000",40833884,"-73,902,794.000000",-73902794,"9","MORRISANIA SEC ED COMPLEX-X","Bronx Center for Science and Mathematics - X260 - X002 - 09X260 - 1363 FULTON AVENUE"
"W/""435278370""","12/21/2021","2021-12-21T05:00:24Z","10-day closure",882450001,"4540e58a-cf5e-ec11-8f8e-001dd80506d4","12/30/2021","2021-12-30T05:00:24Z","f209e2e1-30f4-ea11-b882-24ee9a37d45c","1700 FULTON STREET","Brooklyn",882450002,"40,678,478.000000",40678478,"-73,931,604.000000",-73931604,"16","BOYS & GIRLS HS - K","Boys and Girls High School - K455 - K455 - 16K455 - 1700 FULTON STREET"
"W/""441623423""","12/22/2021","2021-12-22T05:00:37Z","10-day closure",882450001,"8b52a41b-bd5d-ec11-8f8e-001dd80508ad","12/31/2021","2021-12-31T05:00:37Z","9483ff9e-30f4-ea11-b882-24ee9a37d45c","108 MONTROSE AVENUE","Brooklyn",882450002,"40,706,708.000000",40706708,"-73,945,659.000000",-73945659,"14","P.S. 250 - BROOKLYN","P.S. 250 George H. Lindsay - K250 - K250 - 14K250 - 108 MONTROSE AVENUE"
"W/""441623845""","12/22/2021","2021-12-22T05:00:46Z","10-day closure",882450001,"cda2b573-c85d-ec11-8f8e-001dd80508ad","12/31/2021","2021-12-31T05:00:46Z","e48521d0-32f4-ea11-b882-24ee9a37d45c","33 FERNDALE AVENUE","Staten Island",882450004,"40,592,132.000000",40592132,"-74,158,618.000000",-74158618,"31","I.S. 72 - STATEN ISLAND","I.S. 072 Rocco Laurie - R072 - R072 - 31R072 - 33 FERNDALE AVENUE"
"W/""430877182""","12/18/2021","2021-12-18T05:00:49Z","10-day closure",882450001,"487ab248-d75d-ec11-8f8e-001dd80508ad","12/27/2021","2021-12-27T05:00:49Z","006e3d68-31f4-ea11-b882-24ee9a37d45c","440 WEST  53 STREET","Manhattan",882450000,"40,765,880.000000",40765880,"-73,989,776.000000",-73989776,"2","P.S. 111 - MANHATTAN","City Knoll Middle School - M933 - M111 - 02M933 - 440 WEST  53 STREET"
"W/""435328930""","12/21/2021","2021-12-21T05:00:12Z","10-day closure",882450001,"c232d288-395d-ec11-8f8e-001dd80508be","12/30/2021","2021-12-30T05:00:12Z","d9d10307-33f4-ea11-b882-24ee9a37d45c","677 EAST 141 STREET","Bronx",882450001,"40,807,916.000000",40807916,"-73,912,557.000000",-73912557,"7","P.S. 65 - BRONX","P.S. 065 Mother Hale Academy - X065 - X065 - 07X065 - 677 EAST 141 STREET"
"W/""444456043""","12/24/2021","2021-12-24T05:00:33Z","10-day closure",882450001,"272efba4-0962-ec11-8f8e-001dd8050ca0","1/2/2022","2022-01-02T05:00:33Z","7234aa92-31f4-ea11-b882-24ee9a37d45c","260 PLEASANT AVENUE","Manhattan",882450000,"40,794,184.000000",40794184,"-73,932,868.000000",-73932868,"4","MANHTN CT FOR MATH & SCI. HS - M","Isaac Newton Middle School for Math & Science - M825 - M435 - 04M825 - 260 PLEASANT AVENUE"
"W/""471774916""","12/30/2021","2021-12-30T05:00:52Z","Investigation",882450000,"333ef3be-0469-ec11-8f8e-001dd8050ca3","1/3/2022","2022-01-03T05:00:52Z","29c0fb05-4afb-ea11-b883-24ee9a37d459","36 FORD STREET",,,"40,664,504.000000",40664504,"-73,929,459.000000",-73929459,"17","FRIENDS OF CROWN HEIGHTS SITE 1","Friends Of Crown Heights Site 1 - KASK - KASK -  - 36 FORD STREET"
"W/""441624397""","12/22/2021","2021-12-22T05:00:23Z","10-day closure",882450001,"4ec059db-f660-ec11-8f8e-001dd8050cb2","12/31/2021","2021-12-31T05:00:23Z","8b53dd74-33f4-ea11-b882-24ee9a37d45c","4143 THIRD AVENUE","Bronx",882450001,"40,845,366.000000",40845366,"-73,897,479.000000",-73897479,"9","Eagle Academy For Young Men - Bronx","Eagle Academy for Young Men - X231 - X465 - 09X231 - 4143 THIRD AVENUE"
"W/""441459912""","12/18/2021","2021-12-18T05:00:49Z","10-day closure",882450001,"7328784d-d661-ec11-8f8e-001dd8050cb7","12/27/2021","2021-12-27T05:00:49Z","006e3d68-31f4-ea11-b882-24ee9a37d45c","440 WEST  53 STREET","Manhattan",882450000,"40,765,880.000000",40765880,"-73,989,776.000000",-73989776,"2","P.S. 111 - MANHATTAN","DYCD - City Knoll Middle School - 142358 - 440 West   53 Street"
